Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
829759,2015-04-27,Punjab Kings vs Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,0.2,0.4,0.6060606060606061,0.21212121212121215,Sunrisers Hyderabad
829765,2015-04-28,Chennai Super Kings vs Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,0.8,0.8,0.3695652173913043,-0.26086956521739135,Chennai Super Kings
829763,2015-04-29,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0.2,0.6,0.5531914893617021,0.1063829787234043,Draw/No Result
829723,2015-04-30,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,0.8,0.6,0.6363636363636364,0.2727272727272727,Kolkata Knight Riders
829767,2015-05-01,Delhi Capitals vs Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,field,0.2,0.4,0.5531914893617021,0.1063829787234043,Delhi Capitals
829769,2015-05-01,Mumbai Indians vs Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,0.6,0.6,0.47619047619047616,-0.04761904761904767,Mumbai Indians
829771,2015-05-02,Royal Challengers Bengaluru vs Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,0.0,0.6,0.5416666666666666,0.08333333333333326,Royal Challengers Bengaluru
829773,2015-05-02,Sunrisers Hyderabad vs Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,0.4,0.6,0.625,0.25,Sunrisers Hyderabad
829775,2015-05-03,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,0.0,0.2,0.5882352941176471,0.17647058823529416,Mumbai Indians
829777,2015-05-03,Rajasthan Royals vs Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,0.4,0.4,0.5555555555555556,0.11111111111111116,Rajasthan Royals
829779,2015-05-04,Chennai Super Kings vs Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,0.8,0.6,0.3617021276595745,-0.276595744680851,Chennai Super Kings
829781,2015-05-04,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0.8,0.4,0.6444444444444445,0.288888888888889,Kolkata Knight Riders
829783,2015-05-05,Mumbai Indians vs Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,0.6,0.4,0.46511627906976744,-0.06976744186046513,Mumbai Indians
829785,2015-05-06,Royal Challengers Bengaluru vs Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,0.2,0.2,0.5510204081632653,0.1020408163265305,Royal Challengers Bengaluru
829787,2015-05-07,Rajasthan Royals vs Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,0.6,0.4,0.5,0.0,Sunrisers Hyderabad
829761,2015-05-07,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,0.8,0.4,0.6304347826086957,0.26086956521739135,Kolkata Knight Riders
829789,2015-05-08,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,1.0,0.4,0.3541666666666667,-0.29166666666666663,Mumbai Indians
829791,2015-05-09,Kolkata Knight Riders vs Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,0.8,0.2,0.6170212765957447,0.23404255319148937,Kolkata Knight Riders
829793,2015-05-09,Delhi Capitals vs Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0.4,0.6,0.5,0.0,Sunrisers Hyderabad
829795,2015-05-10,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0.6,0.6,0.4772727272727273,-0.045454545454545414,Royal Challengers Bengaluru
829797,2015-05-10,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,0.8,0.6,0.3673469387755102,-0.26530612244897955,Chennai Super Kings
829799,2015-05-11,Sunrisers Hyderabad vs Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,0.6,0.0,0.6060606060606061,0.21212121212121215,Sunrisers Hyderabad
829801,2015-05-12,Delhi Capitals vs Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,0.4,0.4,0.4,-0.19999999999999996,Delhi Capitals
829803,2015-05-13,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0.0,0.8,0.5714285714285714,0.1428571428571428,Punjab Kings
829805,2015-05-14,Mumbai Indians vs Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,0.6,0.4,0.4666666666666667,-0.06666666666666665,Mumbai Indians
829807,2015-05-15,Sunrisers Hyderabad vs Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,bat,0.6,0.6,0.5882352941176471,0.17647058823529416,Royal Challengers Bengaluru
829811,2015-05-16,Rajasthan Royals vs Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,0.4,0.2,0.45454545454545453,-0.09090909090909094,Rajasthan Royals
829809,2015-05-16,Punjab Kings vs Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,0.2,0.2,0.5555555555555556,0.11111111111111116,Chennai Super Kings
829813,2015-05-17,Royal Challengers Bengaluru vs Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,0.4,0.4,0.54,0.08000000000000007,Draw/No Result
829815,2015-05-17,Sunrisers Hyderabad vs Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,0.6,0.6,0.6,0.19999999999999996,Mumbai Indians
829817,2015-05-19,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,0.8,0.8,0.45652173913043476,-0.08695652173913049,Mumbai Indians
829819,2015-05-20,Royal Challengers Bengaluru vs Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,0.4,0.4,0.5,0.0,Royal Challengers Bengaluru
829821,2015-05-22,Chennai Super Kings vs Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,0.6,0.6,0.625,0.25,Chennai Super Kings
829823,2015-05-24,Mumbai Indians vs Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0.8,0.4,0.625,0.25,Mumbai Indians
980903,2016-04-10,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,0.8,0.2,0.6122448979591837,0.22448979591836737,Kolkata Knight Riders
980907,2016-04-12,Royal Challengers Bengaluru vs Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0.6,0.6,0.5294117647058824,0.05882352941176472,Royal Challengers Bengaluru
980909,2016-04-13,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,1.0,0.8,0.62,0.24,Mumbai Indians
980913,2016-04-15,Delhi Capitals vs Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,field,0.6,0.0,0.5625,0.125,Delhi Capitals
980915,2016-04-16,Sunrisers Hyderabad vs Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,0.6,0.0,0.6111111111111112,0.22222222222222232,Kolkata Knight Riders
980921,2016-04-17,Royal Challengers Bengaluru vs Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,0.8,0.0,0.5192307692307693,0.03846153846153855,Delhi Capitals
980923,2016-04-18,Sunrisers Hyderabad vs Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,0.4,1.0,0.6216216216216216,0.2432432432432432,Sunrisers Hyderabad
980925,2016-04-19,Punjab Kings vs Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,0.4,0.2,0.75,0.5,Kolkata Knight Riders
980927,2016-04-20,Mumbai Indians vs Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,0.4,0.4,0.46938775510204084,-0.061224489795918324,Mumbai Indians
980933,2016-04-23,Delhi Capitals vs Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,0.6,0.8,0.5714285714285714,0.1428571428571428,Delhi Capitals
980935,2016-04-23,Sunrisers Hyderabad vs Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,0.4,0.0,0.631578947368421,0.26315789473684204,Sunrisers Hyderabad
980941,2016-04-25,Punjab Kings vs Mumbai Indians,Punjab Kings,Mumbai Indians,Punjab Kings,field,0.4,0.6,0.8,0.6000000000000001,Mumbai Indians
980947,2016-04-28,Mumbai Indians vs Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0.6,0.6,0.48,-0.040000000000000036,Mumbai Indians
980951,2016-04-30,Delhi Capitals vs Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,0.6,0.6,0.5490196078431373,0.0980392156862746,Delhi Capitals
